fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,ind_nuevo,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,segmento,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,ind_ctju_fin_ult1,ind_ctma_fin_ult1,ind_ctop_fin_ult1,ind_ctpp_fin_ult1,ind_deco_fin_ult1,ind_deme_fin_ult1,ind_dela_fin_ult1,ind_ecue_fin_ult1,ind_fond_fin_ult1,ind_hip_fin_ult1,ind_plan_fin_ult1,ind_pres_fin_ult1,ind_reca_fin_ult1,ind_tjcr_fin_ult1,ind_valo_fin_ult1,ind_viv_fin_ult1,ind_nomina_ult1,ind_nom_pens_ult1,ind_recibo_ult1
28-01-2015,1375586,N,ES,H,35,12-01-2015,0,6,1,,1,A,S,N,,KHL,N,1,29,MALAGA,1,87218.1,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050611,N,ES,V,23,10-08-2012,0,35,1,,1,I,S,S,,KHE,N,1,13,CIUDAD REAL,0,35548.74,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050612,N,ES,V,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,0,122179.11,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050613,N,ES,H,22,10-08-2012,0,35,1,,1,I,S,N,,KHD,N,1,50,ZARAGOZA,0,119775.54,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050614,N,ES,V,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050615,N,ES,H,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,22220.04,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050616,N,ES,H,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,24,LEON,0,295590.36,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050617,N,ES,H,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,113316.66,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050619,N,ES,H,24,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,20,GIPUZKOA,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050620,N,ES,H,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,10,CACERES,0,113194.98,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050621,N,ES,V,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,50,ZARAGOZA,0,72575.88,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050622,N,ES,H,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,17,GIRONA,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050623,N,ES,H,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,49,ZAMORA,1,113538.81,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050624,N,ES,H,65,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,61605.09,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050625,N,ES,V,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,49,ZAMORA,1,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050626,N,ES,V,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,8,BARCELONA,1,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050610,N,ES,V,24,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,37,SALAMANCA,1,68318.46,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2015,1050627,N,ES,H,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,0,65608.35,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
